NL 174:558:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Lange, Eduard~P:Lange, Eduard (Vetter Machs):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::20.04.1904::::Liberec~50.764444°, 15.046944°:3 S. hs.:::::C012::0
NL 174:2826:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::22.05.1888::::Rijeka~45.329703°, 14.432086°:1 S. hs.:::::::1998
NL 174:2827:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::28.05.1888::::Rijeka~45.329703°, 14.432086°:4 S. hs.:::::::1998
NL 174:2828:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::29.05.1888::::Rijeka~45.329703°, 14.432086°:3 S. hs.:::::::1998
NL 174:2829:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::06.06.1888::::Rijeka~45.329703°, 14.432086°:3 S. hs.:::::::1998
NL 174:2830:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::11.06.1888::::Rijeka~45.329703°, 14.432086°:1 S. hs.:::::::1998
NL 174:2831:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::25.06.1888::::Rijeka~45.329703°, 14.432086°:2 S. hs.:::::::1998
NL 174:2832:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::22.08.1888::::Hermagor-Presseger See~46.627222°, 13.367222°:2 S. hs.:::::::1998
NL 174:2833:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::02.09.1888::::Hermagor-Presseger See~46.627222°, 13.367222°:3 S. hs.:::::::1998
NL 174:2834:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::11.09.1888::::Rijeka~45.329703°, 14.432086°:4 S. hs.:::::::1998
NL 174:2835:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::13.09.1888::::Rijeka~45.329703°, 14.432086°:3 S. hs.:::::::1998
NL 174:2836:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief::o.D. (nach 13.09.1888 und vor 17.09.1888):::::o.O.:3 S. hs.:::::::1998
NL 174:2837:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::17.09.1888::::Rijeka~45.329703°, 14.432086°:5 S. hs.:::::::1998
NL 174:2838:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::25.09.1888::::Rijeka~45.329703°, 14.432086°:1 S. hs.:::::::1998
NL 174:2839:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::05.10.1888::::Rijeka~45.329703°, 14.432086°:1 S. hs.:::::::1998
NL 174:2840:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::09.10.1888::::Rijeka~45.329703°, 14.432086°:2 S. hs.:::::::1998
NL 174:2841:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::23.10.1888::::Rijeka~45.329703°, 14.432086°:2 S. hs.:::::::1998
NL 174:2842:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::04.11.1888::::Rijeka~45.329703°, 14.432086°:2 S. hs.:::::::1998
NL 174:2843:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Karte:::05.11.1888::::Rijeka~45.329703°, 14.432086°:2 S. hs.:::::::1998
NL 174:2844:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::15.11.1888::::Rijeka~45.329703°, 14.432086°:2 S. hs.:::Zeichnung von den Strömungsverhältnissen eines Schiffes (1 S. hs.)::::1998
NL 174:2845:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::01.12.1888::::Rijeka~45.329703°, 14.432086°:3 S. hs.:::::::1998
NL 174:2846:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::12.12.1888::::Rijeka~45.329703°, 14.432086°:3 S. hs.:::::::1998
NL 174:2847:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::17.12.1888::::Rijeka~45.329703°, 14.432086°:3 S. hs.:::::::1998
NL 174:2848:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::27.12.1888::::Rijeka~45.329703°, 14.432086°:1 S. hs.:::Notizen Salchers über den Zusammenhang zwischen Druck und Zeit (3 S. hs.)::::1998
NL 174:2849:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::29.12.1888::::Rijeka~45.329703°, 14.432086°:1 S. hs.:::::::1998
NL 174:2850:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::19.01.1889::::Rijeka~45.329703°, 14.432086°:2 S. hs.:::::::1998
NL 174:2851:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::25.01.1889::::Rijeka~45.329703°, 14.432086°:1 S. hs.:::::::1998
NL 174:2852:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::13.02.1889::::Rijeka~45.329703°, 14.432086°:1 S. hs.:::::::1998
NL 174:2853:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::10.03.1889::::Rijeka~45.329703°, 14.432086°:2 S. hs.:::::::1998
NL 174:2854:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::20.03.1889::::Rijeka~45.329703°, 14.432086°:3 S. hs.:::::::1998
NL 174:2855:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::07.04.1889::::Rijeka~45.329703°, 14.432086°:2 S. hs.:::::::1998
NL 174:2856:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::07.05.1889::::Rijeka~45.329703°, 14.432086°:3 S. hs.:::::::1998
NL 174:2857:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::01.07.1889::::Rijeka~45.329703°, 14.432086°:2 S. hs.:::::::1998
NL 174:2858:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::28.09.1889::::Rijeka~45.329703°, 14.432086°:2 S. hs.:::Notizen Salchers zu Luftstrahl-Aufnahmen mittels Blitzpulver-Beleuchtung (3 S. hs.)::::1998
NL 174:2859:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::07.10.1889::::Rijeka~45.329703°, 14.432086°:2 S. hs.:::::::1998
NL 174:2860:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::11.10.1889::::o.O.:4 S. hs.:::::::1998
NL 174:2861:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::28.10.1889::::Rijeka~45.329703°, 14.432086°:2 S. hs.:::::::1998
NL 174:2862:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::02.11.1889::::Rijeka~45.329703°, 14.432086°:3 S. hs.:::::::1998
NL 174:2863:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::14.01.1890::::Rijeka~45.329703°, 14.432086°:2 S. hs.:::::::1998
NL 174:2864:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::31.01.1894::::Rijeka~45.329703°, 14.432086°:3 S. hs.:::::::1998
NL 174:2865:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::31.05.1895::::Rijeka~45.329703°, 14.432086°:3 S. hs.:::::::1998
NL 174:2866:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::02.06.1895::::Rijeka~45.329703°, 14.432086°:2 S. hs.:::::::1998
NL 174:2867:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Salcher, Peter~124872034:Salcher, Peter (Dr.):124872034::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::03.07.1895::::Rijeka~45.329703°, 14.432086°:1 S. hs.:::::::1998
NL 174:2868:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Samter, Victor~127812881:Samter, Victor:127812881::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::31.10.1904:Merrimac Chemical Co. <North Woburn>~K:Merrimac Chemical Co. <North Woburn> s. Samter, Victor::Woburn~42.479167°, -71.152778°:3 S. hs.:::::::0
NL 174:2869:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Sarton, George~119224453:Sarton, George:119224453::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::02.05.1912::::Wondelgem~51.088889°, 3.713056°:1 S. hs.:fre::::::2026
NL 174:2870:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Sartorius, Florenz~139484833:Sartorius, Florenz::10035580-8:Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::10.12.1894:F. Sartorius, Waagen und Gewichte <Göttingen>~10035580-8:F. Sartorius, Waagen und Gewichte <Göttingen> s. Sartorius, Florenz::Göttingen~51.533889°, 9.935556°:1 S. hs.:::::::1995
NL 174:2871:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Saurel, T.H.~P:Saurel, T.H. (Colonel der Artillerie):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::13.10.1904::::Brüssel~50.845833°, 4.351944°:3 S. hs.:fre::::::0
NL 174:2872:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Saurel, T.H.~P:Saurel, T.H. (Colonel der Artillerie):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::31.10.1904::::Brüssel~50.845833°, 4.351944°:3 S. hs.:fre::::::0
NL 174:2873:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Saurel, T.H.~P:Saurel, T.H. (Colonel der Artillerie):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::24.02.1905::::Brüssel~50.845833°, 4.351944°:1 S. hs.:fre::::::0
NL 174:2874:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schaik, Willem Cornelius Loran van~102621659:Schaik, Willem Cornelius Loran van:102621659::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::12.03.1891::::Rotterdam~51.930833°, 4.479167°:2 S. hs.:::::::2010
NL 174:2875:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schaik, Willem Cornelius Loran van~102621659:Schaik, Willem Cornelius Loran van:102621659::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::29.04.1891::::Rotterdam~51.930833°, 4.479167°:2 S. hs.:::::::2010
NL 174:2876:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schaik, Willem Cornelius Loran van~102621659:Schaik, Willem Cornelius Loran van:102621659::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::31.05.1892::::Rotterdam~51.930833°, 4.479167°:2 S. hs.:::::::2010
NL 174:2877:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Scharwin, Wassili~P; arvin'', Vasilij V. s. Scharwin, Wassili:Scharwin, Wassili (Dr.):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::27.02.1906:Technische Hochschule <Moskau>~139912-3:Technische Hochschule <Moskau> s. Scharwin, Wassili::Moskau~55.75°, 37.616667°:5 S. hs.:::::::2000
NL 174:2878:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Scharwin, Wassili~P; arvin'', Vasilij V. s. Scharwin, Wassili:Scharwin, Wassili (Dr.):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::08.10.1906:Technische Hochschule <Moskau>~139912-3:Technische Hochschule <Moskau> s. Scharwin, Wassili::Moskau~55.75°, 37.616667°:4 S. hs.:::::::2000
NL 174:2879:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Scharwin, Wassili~P; arvin'', Vasilij V. s. Scharwin, Wassili:Scharwin, Wassili (Dr.):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::21.10.1906:Technische Hochschule <Moskau>~139912-3:Technische Hochschule <Moskau> s. Scharwin, Wassili::Moskau~55.75°, 37.616667°:4 S. hs.:::::::2000
NL 174:2880:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Scharwin, Wassili~P; arvin'', Vasilij V. s. Scharwin, Wassili:Scharwin, Wassili (Dr.):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::04.10.1907:Technische Hochschule <Moskau>~139912-3:Technische Hochschule <Moskau> s. Scharwin, Wassili::Moskau~55.75°, 37.616667°:4 S. hs.:::::::2000
NL 174:2881:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Scheibner, Wilhelm~117193526:Scheibner, Wilhelm (Prof.):117193526::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::09.12.1865::::Leipzig~51.340333°, 12.37475°:2 S. hs.:::::::1978
NL 174:2882:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schellbach, Karl Heinrich~115660429:Schellbach, Karl Heinrich:115660429::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::12.06.1879::::Berlin~52.518611°, 13.408056°:2 S. hs.:::::::1962
NL 174:2883:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schellen, Thomas Joseph Heinrich~11762067X:Schellen, Thomas Joseph Heinrich:11762067X::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::25.08.1872::::Köln~50.938056°, 6.956944°:2 S. hs.:::::::1954
NL 174:2884:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schenker, H.~P:Schenker, H. (Dr.):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::02.12.1898::::o.O.:2 S. hs.:::::::0
NL 174:2885:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schenkl~P:Schenkl (Prof.):::Mach, Ernst~118575767:Mach, Ernst:118575767::Visitenkarte::o.D.::::Bauer, Wilhelm~P:o.O.:2 S. gedr. u. hs.:::::::1111
NL 174:2886:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Scherer, Rudolf~130143790:Scherer, Rudolf:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::06.06.1913::::Wien~48.20833°, 16.373064°:2 S. ms.:::::::1988
NL 174:2887:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Scheve, W. von~140229574:Scheve, W. von:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::14.02.1897::::Berlin-Wilmersdorf~52.483333°, 13.316667°:2 S. hs.:::::::0
NL 174:2888:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Scheve, W. von~140229574:Scheve, W. von:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::20.02.1897::::Berlin-Wilmersdorf~52.483333°, 13.316667°:3 S. hs.:::::::0
NL 174:2889:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Scheve, W. von~140229574:Scheve, W. von:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::28.02.1897::::Berlin-Wilmersdorf~52.483333°, 13.316667°:3 S. hs.:::::::0
NL 174:2890:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Scheve, W. von~140229574:Scheve, W. von:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::15.03.1897::::Berlin-Wilmersdorf~52.483333°, 13.316667°:2 S. hs.:::::::0
NL 174:2891:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schiaparelli, Giovanni~117225967:Schiaparelli, Giovanni:117225967::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::25.04.1898::::Mailand~45.4625°, 9.186389°:4 S. hs.:ita::::::1980
NL 174:2892:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schiaparelli, Giovanni~117225967:Schiaparelli, Giovanni:117225967::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::16.02.1900::::Mailand~45.4625°, 9.186389°:1 S. hs.:ita::::::1980
NL 174:2893:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schiff, Eduard~P:Schiff, Eduard (Prof.):::Mach, Ernst~118575767:Mach, Ernst:118575767::Visitenkarte::o.D.:::::o.O.:1 S. gedr.:::::::1111
NL 174:2894:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schindler, Josef~139576126:Schindler, Joseph (Prof.):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::13.05.1895:Deutsche Universität <Prag>~4213384-1:Deutsche Universität <Prag> s. Schindler, Josef::Prag~50.083333°, 14.416667°:2 S. hs.::::::1982:
NL 174:2895:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schlegel, Vikcor~117643483:Schlegel, Viktor (Prof.):117643483::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::16.07.1897::::Hagen~51.359444°, 7.475°:4 S. hs.:::Notiz (von Mach?) zu einer italienischen Publikation (2 S. hs.)::::1978
NL 174:2896:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schlesinger, Ludwig~138214379:Schlesinger:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::17.05.1895::::Prag~50.083333°, 14.416667°:2 S. hs.:::::::1969
NL 174:2897:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schlosser, Julius von~118931725:Schlosser, Julius von (Dr.):118931725::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::07.06.1898::::Wien~48.20833°, 16.373064°:4 S. hs.:::::::2008
NL 174:2898:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schmidt, Ferdinand Jakob~117502901:Schmidt, Ferdinand Jakob:117502901::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::10.05.1897::::Berlin~52.518611°, 13.408056°:1 S. hs.:::::::2009
NL 174:2899:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schmidt, Ferdinand Jakob~117502901:Schmidt, Ferdinand Jakob:117502901::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::06.01.1903::::Berlin~52.518611°, 13.408056°:1 S. hs.:::::::2009
NL 174:2900:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schönbach, Anton E.~116859989:Schönbach, Anton E.:116859989::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::18.02.1908::::Graz~47.066667°, 15.433333°:2 S. hs.:::::::1981
NL 174:2901:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schoenrock, Alexander~P:Schoenrock, Alexander (Physikalisches Central-Observatorium St. Petersburg):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::13.04.1907:Physikalisches Central-Observatorium <St. Petersburg>~K:Physikalisches Central-Observatorium <St. Petersburg> s. Schoenrock, Alexander::St. Petersburg~59.933333°, 30.266667°:3 S. hs.:::::::0
NL 174:2902:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schrenck-Notzing, Albert Freiherr von~107413531:Schrenck-Notzing, Albert Freiherr von (Dr.):107413531::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::04.06.1896:Dritter Internationaler Kongreß für Psychologie <München>~1219212-0:Dritter Internationaler Kongreß für Psychologie <München> s. Schrenck-Notzing, Albert Freiherr von::München~48.136944°, 11.575278°:4 S. hs.:::::::1999
NL 174:2903:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schroeder, Hugo~117070939:Schroeder, Hugo (Dr.):117071285::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::27.11.1892::::London~51.50939°, -0.11832°:2 S. hs.:::::::1972
NL 174:2904:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schroeder, Hugo~117070939:Schroeder, Hugo (Dr.):117071285::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::21895:Manhattan Optical Co. <Cresskill, New Jersey>~K:Manhattan Optical Co. <Cresskill, New Jersey>~K s. Schroeder, Hugo::Cresskill~40.941944°, -73.965°:2 S. hs.:::::::1972
NL 174:2905:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schroeder, Hugo~117070939:Schroeder, Hugo (Dr.):117071285::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::14.06.1895::::London~51.50939°, -0.11832°:2 S. hs.:::::::1972
NL 174:2906:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schroeder, Hugo~117070939:Schroeder, Hugo (Dr.):117071285::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::06.07.1895::::London~51.50939°, -0.11832°:2 S. hs.:::::::1972
NL 174:2907:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schroeder, Leopold von~101347480:Schroeder, Leopold von (Prof.):101347480::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::04.12.1911::::Wien~48.20833°, 16.373064°:1 S. hs.:::::::1992
NL 174:2908:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schrödinger, Erwin~118823574:Schrödinger, Erwin:118823574::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::25.07.1910::::Vierschach~46.734978°, 12.336358°:11 S. hs.:::::::2031
NL 174:2909:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schubert-Soldern, Richard von~118900102:Schubert (Dr.):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::14.04.1903::::Görz~45.933333°, 13.616667°:3 S. hs.:::::::1994
NL 174:2910:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schubert-Soldern, Richard von~118900102:Schubert (Dr.):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::23.04.1903::::Görz~45.933333°, 13.616667°:4 S. hs.:::::::1994
NL 174:2911:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schubert-Soldern, Richard von~118900102:Schubert (Dr.):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::02.07.1906::::Görz~45.933333°, 13.616667°:3 S. hs.:::::::1994
NL 174:2912:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schubert-Soldern, Richard von~118900102:Schubert (Dr.):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::07.10.1906::::Görz~45.933333°, 13.616667°:1 S. hs.:::::::1994
NL 174:2913:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schubert-Soldern, Richard von~118900102:Schubert (Dr.):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::22.01.1910::::Görz~45.933333°, 13.616667°:2 S. hs.:::::::1994
NL 174:2914:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schuchard, Hugo~118611046:Schuchard, Hugo (Prof.):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::06.05.1902::::Graz~47.066667°, 15.433333°:6 S. hs.:::::::1997
NL 174:2915:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schultz, Julius~117201677:Schultz, Julius:121354253::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::16.12.1901::::Berlin~52.518611°, 13.408056°:1 S. hs.:::::::2006
NL 174:2916:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schultz, Julius~117201677:Schultz, Julius:121354253::Mach, Ernst~118575767:Mach, Ernst:118575767::Karte::21.06.1905 (Poststempel):21.06.1905::::Berlin~52.518611°, 13.408056°:2 S. hs.:::::::2006
NL 174:2917:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schultz, Julius~117201677:Schultz, Julius:121354253::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::07.05.1907::::Berlin~52.518611°, 13.408056°:2 S. hs.:::::::2006
NL 174:2918:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Schultze, Ernst~P:Schultze, Ernst:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::03.04.1897::::Berlin~52.518611°, 13.408056°:1 S. hs.:::::::0
